# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2015-05-24 18:48:03 EDT       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 04087440 LAKE MICHIGAN AT CHICAGO LOCK AT CHICAGO, IL
# -----------------------------------------------------------------------------------
#
# Data provided for site 04087440
#    DD parameter statistic   Description
#    01   00065     00003     Gage height, feet (Mean)
#    15   00065     00003     Gage height, feet (Mean), [(In Lock)]
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	01_00065_00003	01_00065_00003_cd
#5s	15s	20d	14n	10s
USGS	04087440	2007-10-01	-1.54	A
USGS	04087440	2007-10-02	-1.59	A
USGS	04087440	2007-10-03	-1.71	A
USGS	04087440	2007-10-04	-1.56	A
USGS	04087440	2007-10-05	-1.44	A
USGS	04087440	2007-10-06	-1.51	A
USGS	04087440	2007-10-07	-1.44	A
USGS	04087440	2007-10-08	-1.53	A
USGS	04087440	2007-10-09	-1.61	A
USGS	04087440	2007-10-10	-1.34	A
USGS	04087440	2007-10-11	-0.92	A
USGS	04087440	2007-10-12	-1.37	A
USGS	04087440	2007-10-13	-1.70	A
USGS	04087440	2007-10-14	-1.53	A
USGS	04087440	2007-10-15	-1.32	A
USGS	04087440	2007-10-16	-1.13	A
USGS	04087440	2007-10-17	-1.26	A
USGS	04087440	2007-10-18	-1.48	A
USGS	04087440	2007-10-19	-1.86	A
USGS	04087440	2007-10-20	-2.01	A
USGS	04087440	2007-10-21	-1.90	A
USGS	04087440	2007-10-22	-1.41	A
USGS	04087440	2007-10-23	-1.62	A
USGS	04087440	2007-10-24	-1.30	A
USGS	04087440	2007-10-25	-1.30	A
USGS	04087440	2007-10-26	-1.35	A
USGS	04087440	2007-10-27	-1.48	A
USGS	04087440	2007-10-28	-1.77	A
USGS	04087440	2007-10-29	-1.97	A
USGS	04087440	2007-10-30	-1.95	A
USGS	04087440	2007-10-31	-2.06	A
USGS	04087440	2007-11-01	-2.03	A
USGS	04087440	2007-11-02	-2.01	A
USGS	04087440	2007-11-03	-1.85	A
USGS	04087440	2007-11-04	-1.84	A
USGS	04087440	2007-11-05	-1.94	A
USGS	04087440	2007-11-06	-1.92	A
USGS	04087440	2007-11-07	-1.97	A
USGS	04087440	2007-11-08	-1.86	A
USGS	04087440	2007-11-09	-1.59	A
USGS	04087440	2007-11-10	-1.73	A
USGS	04087440	2007-11-11	-2.06	A
USGS	04087440	2007-11-12	-1.88	A
USGS	04087440	2007-11-13	-2.13	A
USGS	04087440	2007-11-14	-2.28	A
USGS	04087440	2007-11-15	-1.95	A
USGS	04087440	2007-11-16	-2.06	A
USGS	04087440	2007-11-17	-1.73	A
USGS	04087440	2007-11-18	-1.79	A
USGS	04087440	2007-11-19	-2.09	A
USGS	04087440	2007-11-20	-1.75	A
USGS	04087440	2007-11-21	-1.04	A
USGS	04087440	2007-11-22	-1.21	A
USGS	04087440	2007-11-23	-1.76	A
USGS	04087440	2007-11-24	-2.41	A
USGS	04087440	2007-11-25	-2.60	A
USGS	04087440	2007-11-26	-2.16	A
USGS	04087440	2007-11-27	-2.09	A
USGS	04087440	2007-11-28	-2.32	A
USGS	04087440	2007-11-29	-2.32	A
USGS	04087440	2007-11-30	-2.45	A
USGS	04087440	2007-12-01	-2.30	A
USGS	04087440	2007-12-02	-1.86	A
USGS	04087440	2007-12-03	-1.86	A
USGS	04087440	2007-12-04	-2.01	A
USGS	04087440	2007-12-05	-1.68	A:e
USGS	04087440	2007-12-06	-2.25	A
USGS	04087440	2007-12-07	-2.35	A
USGS	04087440	2007-12-08	-2.14	A
USGS	04087440	2007-12-09	-1.93	A
USGS	04087440	2007-12-10	-2.08	A
USGS	04087440	2007-12-11	-2.21	A
USGS	04087440	2007-12-12	-2.23	A
USGS	04087440	2007-12-13	-2.38	A
USGS	04087440	2007-12-14	-2.23	A
USGS	04087440	2007-12-15	-1.88	A
USGS	04087440	2007-12-16	-1.69	A
USGS	04087440	2007-12-17	-2.41	A
USGS	04087440	2007-12-18	-2.53	A
USGS	04087440	2007-12-19	-2.17	A
USGS	04087440	2007-12-20	-2.23	A
USGS	04087440	2007-12-21	-2.08	A
USGS	04087440	2007-12-22	-2.18	A
USGS	04087440	2007-12-23	-3.11	A
USGS	04087440	2007-12-24	-2.55	A
USGS	04087440	2007-12-25	-2.62	A
USGS	04087440	2007-12-26	-2.32	A
USGS	04087440	2007-12-27	-2.18	A
USGS	04087440	2007-12-28	-2.29	A
USGS	04087440	2007-12-29	-2.33	A
USGS	04087440	2007-12-30	-2.46	A
USGS	04087440	2007-12-31	-2.21	A
USGS	04087440	2008-01-01	-2.10	A
USGS	04087440	2008-01-02	-2.12	A
USGS	04087440	2008-01-03	-2.78	A
USGS	04087440	2008-01-04	-3.05	A
USGS	04087440	2008-01-05	-2.66	A
USGS	04087440	2008-01-06	-2.47	A
USGS	04087440	2008-01-07	-2.36	A
USGS	04087440	2008-01-08	-2.21	A
USGS	04087440	2008-01-09	-2.52	A
USGS	04087440	2008-01-10	-2.17	A
USGS	04087440	2008-01-11	-2.00	A
USGS	04087440	2008-01-12	-2.16	A
USGS	04087440	2008-01-13	-2.03	A
USGS	04087440	2008-01-14	-1.94	A
USGS	04087440	2008-01-15	-2.07	A
USGS	04087440	2008-01-16	-2.37	A
USGS	04087440	2008-01-17	-2.51	A
USGS	04087440	2008-01-18	-2.51	A
USGS	04087440	2008-01-19	-2.46	A
USGS	04087440	2008-01-20	-2.45	A
USGS	04087440	2008-01-21	-2.44	A
USGS	04087440	2008-01-22	-2.36	A
USGS	04087440	2008-01-23	-2.27	A
USGS	04087440	2008-01-24	-2.17	A
USGS	04087440	2008-01-25	-2.51	A
USGS	04087440	2008-01-26	-2.39	A
USGS	04087440	2008-01-27	-2.18	A
USGS	04087440	2008-01-28	-2.53	A
USGS	04087440	2008-01-29	-2.28	A
USGS	04087440	2008-01-30	-2.50	A
USGS	04087440	2008-01-31	-2.37	A
USGS	04087440	2008-02-01	-1.91	A
USGS	04087440	2008-02-02	-2.11	A
USGS	04087440	2008-02-03	-2.07	A
USGS	04087440	2008-02-04	-1.89	A
USGS	04087440	2008-02-05	-1.68	A
USGS	04087440	2008-02-06	-1.20	A
USGS	04087440	2008-02-07	-1.71	A
USGS	04087440	2008-02-08	-1.92	A
USGS	04087440	2008-02-09	-2.07	A
USGS	04087440	2008-02-10	-2.32	A
USGS	04087440	2008-02-11	-2.37	A
USGS	04087440	2008-02-12	-1.91	A
USGS	04087440	2008-02-13	-1.94	A
USGS	04087440	2008-02-14	-2.12	A
USGS	04087440	2008-02-15	-1.92	A
USGS	04087440	2008-02-16	-2.12	A
USGS	04087440	2008-02-17	-1.87	A
USGS	04087440	2008-02-18	-2.06	A
USGS	04087440	2008-02-19	-2.03	A
USGS	04087440	2008-02-20	-1.67	A
USGS	04087440	2008-02-21	-1.88	A
USGS	04087440	2008-02-22	-1.76	A
USGS	04087440	2008-02-23	-1.82	A
USGS	04087440	2008-02-24	-2.01	A
USGS	04087440	2008-02-25	-1.94	A
USGS	04087440	2008-02-26	-1.37	A
USGS	04087440	2008-02-27	-1.65	A
USGS	04087440	2008-02-28	-1.85	A
USGS	04087440	2008-02-29	-1.93	A
USGS	04087440	2008-03-01	-1.77	A
USGS	04087440	2008-03-02	-1.87	A
USGS	04087440	2008-03-03	-1.61	A
USGS	04087440	2008-03-04	-1.43	A
USGS	04087440	2008-03-05	-1.69	A
USGS	04087440	2008-03-06	-1.84	A
USGS	04087440	2008-03-07	-1.53	A
USGS	04087440	2008-03-08	-1.50	A
USGS	04087440	2008-03-09	-1.73	A
USGS	04087440	2008-03-10	-1.76	A
USGS	04087440	2008-03-11	-2.03	A
USGS	04087440	2008-03-12	-1.77	A
USGS	04087440	2008-03-13	-1.74	A
USGS	04087440	2008-03-14	-1.76	A
