# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2015-05-24 17:58:41 EDT       (nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 05536105 NB CHICAGO RIVER AT ALBANY AVENUE AT CHICAGO, IL
# -----------------------------------------------------------------------------------
#
# Data provided for site 05536105
#    DD parameter statistic   Description
#    01   00065     00003     Gage height, feet (Mean)
#    02   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	01_00065_00003	01_00065_00003_cd	02_00060_00003	02_00060_00003_cd
#5s	15s	20d	14n	10s	14n	10s
USGS	05536105	2007-05-01	2.48	A	214	A
USGS	05536105	2007-05-02	2.26	A	161	A
USGS	05536105	2007-05-03	2.04	A	114	A
USGS	05536105	2007-05-04	1.96	A	100	A
USGS	05536105	2007-05-05	1.90	A	90	A
USGS	05536105	2007-05-06	1.79	A	74	A
USGS	05536105	2007-05-07	1.73	A	67	A
USGS	05536105	2007-05-08	1.74	A	67	A
USGS	05536105	2007-05-09	1.74	A	67	A
USGS	05536105	2007-05-10	1.74	A	68	A
USGS	05536105	2007-05-11	1.67	A	58	A
USGS	05536105	2007-05-12	1.60	A	51	A
USGS	05536105	2007-05-13	1.55	A	45	A
USGS	05536105	2007-05-14	1.53	A	42	A
USGS	05536105	2007-05-15	1.57	A	47	A
USGS	05536105	2007-05-16	2.15	A	135	A
USGS	05536105	2007-05-17	2.01	A	109	A
USGS	05536105	2007-05-18	1.64	A	55	A
USGS	05536105	2007-05-19	1.50	A	39	A
USGS	05536105	2007-05-20	1.48	A	37	A
USGS	05536105	2007-05-21	1.43	A	32	A
USGS	05536105	2007-05-22	1.43	A	32	A
USGS	05536105	2007-05-23	1.42	A	30	A
USGS	05536105	2007-05-24	1.38	A	27	A
USGS	05536105	2007-05-25	1.37	A	26	A
USGS	05536105	2007-05-26	2.31	A	198	A
USGS	05536105	2007-05-27	2.40	A	198	A
USGS	05536105	2007-05-28	1.68	A	60	A
USGS	05536105	2007-05-29	1.49	A	38	A
USGS	05536105	2007-05-30	1.46	A	35	A
USGS	05536105	2007-05-31	1.52	A	42	A
USGS	05536105	2007-06-01	1.63	A	55	A
USGS	05536105	2007-06-02	1.83	A	83	A
USGS	05536105	2007-06-03	1.55	A	45	A
USGS	05536105	2007-06-04	1.71	A	73	A
USGS	05536105	2007-06-05	2.73	A	299	A
USGS	05536105	2007-06-06	2.29	A	202	A
USGS	05536105	2007-06-07	1.83	A	109	A
USGS	05536105	2007-06-08	1.69	A	87	A
USGS	05536105	2007-06-09	1.54	A	65	A
USGS	05536105	2007-06-10	1.54	A	64	A
USGS	05536105	2007-06-11	1.48	A	57	A
USGS	05536105	2007-06-12	1.47	A	55	A
USGS	05536105	2007-06-13	1.36	A	43	A
USGS	05536105	2007-06-14	1.39	A	46	A
USGS	05536105	2007-06-15	1.44	A	51	A
USGS	05536105	2007-06-16	1.40	A	46	A
USGS	05536105	2007-06-17	1.34	A	39	A
USGS	05536105	2007-06-18	1.29	A	34	A
USGS	05536105	2007-06-19	1.79	A	108	A
USGS	05536105	2007-06-20	1.59	A	72	A
USGS	05536105	2007-06-21	1.35	A	42	A
USGS	05536105	2007-06-22	1.35	A	41	A
USGS	05536105	2007-06-23	1.35	A	41	A
USGS	05536105	2007-06-24	1.28	A	33	A
USGS	05536105	2007-06-25	1.26	A	31	A
USGS	05536105	2007-06-26	1.64	A	94	A
USGS	05536105	2007-06-27	1.85	A	113	A
USGS	05536105	2007-06-28	1.52	A	63	A
USGS	05536105	2007-06-29	1.36	A	42	A
USGS	05536105	2007-06-30	1.31	A	36	A
USGS	05536105	2007-07-01	1.25	A	29	A
USGS	05536105	2007-07-02	1.20	A	25	A
USGS	05536105	2007-07-03	1.19	A	24	A
USGS	05536105	2007-07-04	2.08	A	167	A
USGS	05536105	2007-07-05	1.96	A	134	A
USGS	05536105	2007-07-06	1.56	A	68	A
USGS	05536105	2007-07-07	1.42	A	49	A
USGS	05536105	2007-07-08	1.33	A	38	A
USGS	05536105	2007-07-09	1.28	A	33	A
USGS	05536105	2007-07-10	1.91	A	124	A
USGS	05536105	2007-07-11	1.89	A	121	A
USGS	05536105	2007-07-12	1.49	A	58	A
USGS	05536105	2007-07-13	1.28	A	33	A
USGS	05536105	2007-07-14	1.27	A	31	A
USGS	05536105	2007-07-15	1.21	A	26	A
USGS	05536105	2007-07-16	1.18	A	23	A
USGS	05536105	2007-07-17	1.31	A	36	A
USGS	05536105	2007-07-18	1.30	A	37	A
USGS	05536105	2007-07-19	2.44	A	233	A
USGS	05536105	2007-07-20	1.90	A	124	A
USGS	05536105	2007-07-21	1.52	A	63	A
USGS	05536105	2007-07-22	1.35	A	41	A
USGS	05536105	2007-07-23	1.27	A	32	A
USGS	05536105	2007-07-24	1.24	A	29	A
USGS	05536105	2007-07-25	1.22	A	27	A
USGS	05536105	2007-07-26	1.24	A	29	A
USGS	05536105	2007-07-27	1.31	A	36	A
USGS	05536105	2007-07-28	1.44	A	52	A
USGS	05536105	2007-07-29	1.44	A	52	A
USGS	05536105	2007-07-30	1.31	A	36	A
USGS	05536105	2007-07-31	1.27	A	32	A
USGS	05536105	2007-08-01	1.18	A	23	A
USGS	05536105	2007-08-02	1.27	A	32	A
USGS	05536105	2007-08-03	1.18	A	24	A
USGS	05536105	2007-08-04	1.16	A	22	A
USGS	05536105	2007-08-05	2.60	A	307	A
USGS	05536105	2007-08-06	3.26	A	448	A
USGS	05536105	2007-08-07	4.12	A	735	A
USGS	05536105	2007-08-08	4.62	A	910	A
USGS	05536105	2007-08-09	4.34	A	805	A
USGS	05536105	2007-08-10	3.71	A	585	A
USGS	05536105	2007-08-11	3.04	A	385	A
USGS	05536105	2007-08-12	2.52	A	249	A
USGS	05536105	2007-08-13	2.33	A	207	A
USGS	05536105	2007-08-14	2.22	A	183	A
USGS	05536105	2007-08-15	2.15	A	171	A
USGS	05536105	2007-08-16	1.99	A	141	A
USGS	05536105	2007-08-17	1.61	A	75	A
USGS	05536105	2007-08-18	1.46	A	54	A
USGS	05536105	2007-08-19	3.03	A	431	A
USGS	05536105	2007-08-20	5.59	A	1500	A
USGS	05536105	2007-08-21	5.59	A	1490	A
USGS	05536105	2007-08-22	4.77	A	979	A
USGS	05536105	2007-08-23	5.09	A	1200	A
USGS	05536105	2007-08-24	6.08	A	1860	A
USGS	05536105	2007-08-25	5.69	A	1570	A
USGS	05536105	2007-08-26	4.96	A	1080	A
USGS	05536105	2007-08-27	3.96	A	672	A
USGS	05536105	2007-08-28	3.69	A	578	A
USGS	05536105	2007-08-29	3.65	A	565	A
USGS	05536105	2007-08-30	3.45	A	502	A
USGS	05536105	2007-08-31	3.12	A	405	A
USGS	05536105	2007-09-01	2.43	A	232	A
USGS	05536105	2007-09-02	1.90	A	122	A
USGS	05536105	2007-09-03	1.70	A	89	A
USGS	05536105	2007-09-04	1.58	A	71	A
USGS	05536105	2007-09-05	1.48	A	56	A
USGS	05536105	2007-09-06	1.39	A	46	A
USGS	05536105	2007-09-07	1.51	A	62	A
USGS	05536105	2007-09-08	1.69	A	87	A
USGS	05536105	2007-09-09	1.51	A	61	A
USGS	05536105	2007-09-10	1.42	A	49	A
USGS	05536105	2007-09-11	1.83	A	110	A
USGS	05536105	2007-09-12	1.68	A	85	A
USGS	05536105	2007-09-13	1.51	A	62	A
USGS	05536105	2007-09-14	1.43	A	51	A
USGS	05536105	2007-09-15	1.33	A	39	A
USGS	05536105	2007-09-16	1.32	A	37	A
USGS	05536105	2007-09-17	1.32	A	37	A
USGS	05536105	2007-09-18	1.34	A	40	A
USGS	05536105	2007-09-19	1.32	A	38	A
USGS	05536105	2007-09-20	1.32	A	37	A
USGS	05536105	2007-09-21	1.31	A	36	A
USGS	05536105	2007-09-22	1.31	A	36	A
USGS	05536105	2007-09-23	1.29	A	34	A
USGS	05536105	2007-09-24	1.29	A	33	A
USGS	05536105	2007-09-25	1.45	A	58	A
USGS	05536105	2007-09-26	2.34	A	210	A
USGS	05536105	2007-09-27	1.68	A	86	A
USGS	05536105	2007-09-28	1.42	A	49	A
USGS	05536105	2007-09-29	1.38	A	44	A
USGS	05536105	2007-09-30	1.33	A	38	A
USGS	05536105	2007-10-01	1.55	A	68	A
USGS	05536105	2007-10-02	1.71	A	90	A
USGS	05536105	2007-10-03	1.58	A	71	A
USGS	05536105	2007-10-04	1.48	A	58	A
USGS	05536105	2007-10-05	1.36	A	42	A
USGS	05536105	2007-10-06	1.36	A	42	A
USGS	05536105	2007-10-07	1.33	A	39	A
USGS	05536105	2007-10-08	1.30	A	34	A
USGS	05536105	2007-10-09	1.28	A	33	A
USGS	05536105	2007-10-10	1.27	A	32	A
USGS	05536105	2007-10-11	1.26	A	30	A
USGS	05536105	2007-10-12	1.33	A	38	A
USGS	05536105	2007-10-13	1.27	A	32	A
USGS	05536105	2007-10-14	1.26	A	31	A
USGS	05536105	2007-10-15	1.37	A	43	A
USGS	05536105	2007-10-16	1.59	A	73	A
USGS	05536105	2007-10-17	1.63	A	78	A
USGS	05536105	2007-10-18	1.61	A	75	A
USGS	05536105	2007-10-19	1.67	A	84	A
USGS	05536105	2007-10-20	1.51	A	60	A
USGS	05536105	2007-10-21	1.41	A	47	A
USGS	05536105	2007-10-22	1.36	A	42	A
USGS	05536105	2007-10-23	1.38	A	44	A
USGS	05536105	2007-10-24	1.38	A	45	A
USGS	05536105	2007-10-25	1.33	A	39	A
USGS	05536105	2007-10-26	1.30	A	35	A
USGS	05536105	2007-10-27	1.47	A	55	A
USGS	05536105	2007-10-28	1.46	A	54	A
USGS	05536105	2007-10-29	1.34	A	39	A
USGS	05536105	2007-10-30	1.28	A	33	A
USGS	05536105	2007-10-31	1.28	A	33	A
USGS	05536105	2007-11-01	1.28	A	32	A
USGS	05536105	2007-11-02	1.24	A	29	A
USGS	05536105	2007-11-03	1.24	A	29	A
USGS	05536105	2007-11-04	1.23	A	28	A
USGS	05536105	2007-11-05	1.21	A	26	A
USGS	05536105	2007-11-06	1.19	A	25	A
USGS	05536105	2007-11-07	1.21	A	26	A
USGS	05536105	2007-11-08	1.20	A	25	A
USGS	05536105	2007-11-09	1.22	A	27	A
USGS	05536105	2007-11-10	1.22	A	27	A
USGS	05536105	2007-11-11	1.22	A	27	A
USGS	05536105	2007-11-12	1.22	A	27	A
USGS	05536105	2007-11-13	1.23	A	28	A
USGS	05536105	2007-11-14	1.22	A	27	A
USGS	05536105	2007-11-15	1.21	A	26	A
USGS	05536105	2007-11-16	1.19	A	24	A
USGS	05536105	2007-11-17	1.18	A	23	A
USGS	05536105	2007-11-18	1.22	A	27	A
USGS	05536105	2007-11-19	1.23	A	28	A
USGS	05536105	2007-11-20	1.23	A	28	A
USGS	05536105	2007-11-21	1.77	A	105	A
USGS	05536105	2007-11-22	2.29	A	198	A
USGS	05536105	2007-11-23	1.82	A	108	A
USGS	05536105	2007-11-24	1.50	A	60	A
USGS	05536105	2007-11-25	1.38	A	44	A
USGS	05536105	2007-11-26	1.32	A	38	A
USGS	05536105	2007-11-27	1.30	A	35	A
USGS	05536105	2007-11-28	1.29	A	34	A
USGS	05536105	2007-11-29	1.26	A	31	A
USGS	05536105	2007-11-30	1.24	A	29	A
USGS	05536105	2007-12-01	1.25	A	29	A
USGS	05536105	2007-12-02	1.62	A	80	A
USGS	05536105	2007-12-03	2.22	A	185	A
USGS	05536105	2007-12-04	1.76	A	98	A
USGS	05536105	2007-12-05	1.60	A	73	A
USGS	05536105	2007-12-06	1.56	A	58	A:e
USGS	05536105	2007-12-07	1.49	A	50	A:e
USGS	05536105	2007-12-08	1.44	A	48	A:e
USGS	05536105	2007-12-09	1.40	A	47	A
USGS	05536105	2007-12-10	1.39	A	46	A
USGS	05536105	2007-12-11	1.56	A	69	A
USGS	05536105	2007-12-12	2.51	A	248	A
USGS	05536105	2007-12-13	2.34	A	209	A
USGS	05536105	2007-12-14	1.94	A	130	A
USGS	05536105	2007-12-15	1.75	A	96	A
USGS	05536105	2007-12-16	1.68	A	76	A:e
USGS	05536105	2007-12-17	1.62	A	68	A:e
USGS	05536105	2007-12-18	1.59	A	62	A:e
USGS	05536105	2007-12-19	1.52	A	63	A
USGS	05536105	2007-12-20	1.50	A	59	A
USGS	05536105	2007-12-21	1.56	A	68	A
USGS	05536105	2007-12-22	1.84	A	113	A
USGS	05536105	2007-12-23	2.94	A	362	A
USGS	05536105	2007-12-24	3.28	A	452	A
USGS	05536105	2007-12-25	2.45	A	235	A
USGS	05536105	2007-12-26	2.01	A	142	A
USGS	05536105	2007-12-27	1.85	A	112	A
USGS	05536105	2007-12-28	1.81	A	90	A:e
USGS	05536105	2007-12-29	1.86	A	80	A:e
USGS	05536105	2007-12-30	1.74	A	68	A:e
USGS	05536105	2007-12-31	1.62	A	62	A:e
USGS	05536105	2008-01-01	1.58	A	58	A:e
USGS	05536105	2008-01-02	1.51	A	58	A:e
