# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2015-05-24 18:03:06 EDT       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 05536118 NB CHICAGO RIVER AT GRAND AVENUE AT CHICAGO, IL
# -----------------------------------------------------------------------------------
#
# Data provided for site 05536118
#    DD parameter statistic   Description
#    01   00065     00003     Gage height, feet (Mean)
#    02   00055     00003     Stream velocity, feet per second (Mean)
#    03   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	01_00065_00003	01_00065_00003_cd	02_00055_00003	02_00055_00003_cd	03_00060_00003	03_00060_00003_cd
#5s	15s	20d	14n	10s	14n	10s	14n	10s
USGS	05536118	2007-05-01	-1.91	A	0.285	A	666	A
USGS	05536118	2007-05-02	-2.04	A	0.253	A	584	A
USGS	05536118	2007-05-03	-2.03	A	0.246	A	570	A
USGS	05536118	2007-05-04	-2.03	A	0.231	A	535	A
USGS	05536118	2007-05-05	-2.24	A	0.196	A	446	A
USGS	05536118	2007-05-06	-2.00	A	0.156	A	362	A
USGS	05536118	2007-05-07	-2.00	A	0.216	A	503	A
USGS	05536118	2007-05-08	-1.93	A	0.234	A	545	A
USGS	05536118	2007-05-09	-2.11	A	0.246	A	566	A
USGS	05536118	2007-05-10	-1.97	A	0.228	A	530	A
USGS	05536118	2007-05-11	-2.15	A	0.225	A	516	A
USGS	05536118	2007-05-12	-2.28	A	0.210	A	478	A
USGS	05536118	2007-05-13	-1.97	A	0.198	A	460	A
USGS	05536118	2007-05-14	-1.99	A	0.197	A	458	A
USGS	05536118	2007-05-15	-2.24	A	0.273	A	619	A
USGS	05536118	2007-05-16	-2.19	A	0.298	A	680	A
USGS	05536118	2007-05-17	-2.33	A	0.251	A	567	A
USGS	05536118	2007-05-18	-2.02	A	0.226	A	523	A
USGS	05536118	2007-05-19	-2.16	A	0.209	A	478	A
USGS	05536118	2007-05-20	-2.01	A	0.205	A	475	A
USGS	05536118	2007-05-21	-1.98	A	0.205	A	476	A
USGS	05536118	2007-05-22	-2.02	A	0.232	A	537	A
USGS	05536118	2007-05-23	-2.01	A	0.203	A	471	A
USGS	05536118	2007-05-24	-2.14	A	0.221	A	506	A
USGS	05536118	2007-05-25	-2.65	A	0.200	A	441	A
USGS	05536118	2007-05-26	-2.66	A	0.367	A	804	A
USGS	05536118	2007-05-27	-2.53	A	0.282	A	625	A
USGS	05536118	2007-05-28	-1.90	A	0.231	A	541	A
USGS	05536118	2007-05-29	-2.01	A	0.210	A	487	A
USGS	05536118	2007-05-30	-1.99	A	0.218	A	507	A
USGS	05536118	2007-05-31	-2.08	A	0.233	A	538	A
USGS	05536118	2007-06-01	-2.02	A	0.252	A	585	A
USGS	05536118	2007-06-02	-2.18	A	0.293	A	670	A
USGS	05536118	2007-06-03	-2.15	A	0.262	A	601	A
USGS	05536118	2007-06-04	-2.18	A	0.273	A	623	A
USGS	05536118	2007-06-05	-2.08	A	0.313	A	723	A
USGS	05536118	2007-06-06	-2.03	A	0.278	A	644	A
USGS	05536118	2007-06-07	-1.98	A	0.227	A	527	A
USGS	05536118	2007-06-08	-2.19	A	0.228	A	520	A
USGS	05536118	2007-06-09	-2.05	A	0.213	A	492	A
USGS	05536118	2007-06-10	-1.94	A	0.217	A	506	A
USGS	05536118	2007-06-11	-2.08	A	0.243	A	562	A
USGS	05536118	2007-06-12	-2.07	A	0.240	A	553	A
USGS	05536118	2007-06-13	-2.10	A	0.228	A	524	A
USGS	05536118	2007-06-14	-1.99	A	0.221	A	515	A
USGS	05536118	2007-06-15	-1.98	A	0.241	A	559	A
USGS	05536118	2007-06-16	-2.16	A	0.234	A	537	A
USGS	05536118	2007-06-17	-1.89	A	0.195	A	455	A
USGS	05536118	2007-06-18	-2.19	A	0.218	A	497	A
USGS	05536118	2007-06-19	-2.25	A	0.249	A	567	A
USGS	05536118	2007-06-20	-2.02	A	0.296	A	687	A
USGS	05536118	2007-06-21	-2.14	A	0.231	A	530	A
USGS	05536118	2007-06-22	-2.46	A	0.231	A	517	A
USGS	05536118	2007-06-23	-2.04	A	0.222	A	515	A
USGS	05536118	2007-06-24	-2.10	A	0.222	A	511	A
USGS	05536118	2007-06-25	-1.99	A	0.207	A	480	A
USGS	05536118	2007-06-26	-2.03	A	0.431	A	1000	A
USGS	05536118	2007-06-27	-2.43	A	0.308	A	688	A
USGS	05536118	2007-06-28	-1.97	A	0.222	A	518	A
USGS	05536118	2007-06-29	-1.98	A	0.234	A	545	A
USGS	05536118	2007-06-30	-1.96	A	0.220	A	514	A
USGS	05536118	2007-07-01	-2.01	A	0.231	A	535	A
USGS	05536118	2007-07-02	-2.09	A	0.228	A	525	A
USGS	05536118	2007-07-03	-2.08	A	0.244	A	563	A
USGS	05536118	2007-07-04	-2.19	A	0.261	A	596	A
USGS	05536118	2007-07-05	-1.92	A	0.250	A	583	A
USGS	05536118	2007-07-06	-2.03	A	0.212	A	491	A
USGS	05536118	2007-07-07	-2.13	A	0.184	A	423	A
USGS	05536118	2007-07-08	-1.95	A	0.169	A	394	A
USGS	05536118	2007-07-09	-2.26	A	0.253	A	574	A
USGS	05536118	2007-07-10	-2.35	A	0.260	A	588	A
USGS	05536118	2007-07-11	-1.94	A	0.206	A	481	A
USGS	05536118	2007-07-12	-1.98	A	0.261	A	606	A
USGS	05536118	2007-07-13	-2.02	A	0.245	A	568	A
USGS	05536118	2007-07-14	-2.14	A	0.216	A	495	A
USGS	05536118	2007-07-15	-2.06	A	0.184	A	426	A
USGS	05536118	2007-07-16	-2.00	A	0.185	A	429	A
USGS	05536118	2007-07-17	-2.36	A	0.230	A	519	A
USGS	05536118	2007-07-18	-1.96	A	0.244	A	569	A
USGS	05536118	2007-07-19	-2.18	A	0.385	A	878	A
USGS	05536118	2007-07-20	-1.97	A	0.243	A	565	A
USGS	05536118	2007-07-21	-1.98	A	0.245	A	570	A
USGS	05536118	2007-07-22	-2.01	A	0.201	A	467	A
USGS	05536118	2007-07-23	-2.03	A	0.230	A	532	A
USGS	05536118	2007-07-24	-2.14	A	0.205	A	470	A
USGS	05536118	2007-07-25	-1.98	A	0.207	A	482	A
USGS	05536118	2007-07-26	-2.10	A	0.246	A	565	A
USGS	05536118	2007-07-27	-2.35	A	0.204	A	460	A
USGS	05536118	2007-07-28	-1.86	A	0.223	A	522	A
USGS	05536118	2007-07-29	-2.00	A	0.226	A	526	A
USGS	05536118	2007-07-30	-2.05	A	0.224	A	519	A
USGS	05536118	2007-07-31	-1.93	A	0.205	A	478	A
USGS	05536118	2007-08-01	-1.96	A	0.244	A	568	A
USGS	05536118	2007-08-02	-2.10	A	0.204	A	471	A
USGS	05536118	2007-08-03	-1.92	A	0.239	A	558	A
USGS	05536118	2007-08-04	-2.13	A	0.228	A	523	A
USGS	05536118	2007-08-05	-2.40	A	0.434	A	978	A
USGS	05536118	2007-08-06	-1.92	A	0.368	A	858	A
USGS	05536118	2007-08-07	-2.49	A	0.770	A	1720	A
USGS	05536118	2007-08-08	-2.22	A	0.641	A	1460	A
USGS	05536118	2007-08-09	-2.21	A	0.477	A	1080	A
USGS	05536118	2007-08-10	-1.81	A	0.444	A	1050	A
USGS	05536118	2007-08-11	-1.99	A	0.366	A	849	A
USGS	05536118	2007-08-12	-2.10	A	0.306	A	704	A
USGS	05536118	2007-08-13	-1.95	A	0.264	A	615	A
USGS	05536118	2007-08-14	-2.10	A	0.295	A	679	A
USGS	05536118	2007-08-15	-2.25	A	0.278	A	635	A
USGS	05536118	2007-08-16	-2.01	A	0.269	A	623	A
USGS	05536118	2007-08-17	-2.13	A	0.235	A	540	A
USGS	05536118	2007-08-18	-2.33	A	0.232	A	525	A
USGS	05536118	2007-08-19	-2.60	A	0.600	A	1330	A
USGS	05536118	2007-08-20	-2.21	A	1.200	A	2750	A
USGS	05536118	2007-08-21	-2.34	A	0.794	A	1790	A
USGS	05536118	2007-08-22	-2.02	A	0.599	A	1390	A
USGS	05536118	2007-08-23	-1.00	A	1.234	A	3170	A
USGS	05536118	2007-08-24	0.58	A	1.131	A	3160	A
USGS	05536118	2007-08-25	-2.20	A	1.008	A	2310	A
USGS	05536118	2007-08-26	-1.88	A	0.625	A	1460	A
USGS	05536118	2007-08-27	-2.15	A	0.479	A	1100	A
USGS	05536118	2007-08-28	-2.08	A	0.364	A	839	A
USGS	05536118	2007-08-29	-2.19	A	0.377	A	862	A
USGS	05536118	2007-08-30	-2.04	A	0.344	A	797	A
USGS	05536118	2007-08-31	-2.22	A	0.313	A	714	A
USGS	05536118	2007-09-01	-2.11	A	0.266	A	612	A
USGS	05536118	2007-09-02	-1.94	A	0.216	A	503	A
USGS	05536118	2007-09-03	-2.22	A	0.226	A	515	A
USGS	05536118	2007-09-04	-1.94	A	0.213	A	498	A
USGS	05536118	2007-09-05	-2.10	A	0.221	A	509	A
USGS	05536118	2007-09-06	-2.25	A	0.195	A	443	A
USGS	05536118	2007-09-07	-2.21	A	0.214	A	490	A
USGS	05536118	2007-09-08	-2.05	A	0.238	A	551	A
USGS	05536118	2007-09-09	-2.24	A	0.206	A	470	A
USGS	05536118	2007-09-10	-2.23	A	0.249	A	564	A
USGS	05536118	2007-09-11	-2.22	A	0.228	A	521	A
USGS	05536118	2007-09-12	-2.08	A	0.212	A	490	A
USGS	05536118	2007-09-13	-1.97	A	0.202	A	469	A
USGS	05536118	2007-09-14	-1.93	A	0.193	A	451	A
USGS	05536118	2007-09-15	-2.00	A	0.182	A	422	A
USGS	05536118	2007-09-16	-2.17	A	0.181	A	415	A
USGS	05536118	2007-09-17	-2.23	A	0.193	A	440	A
USGS	05536118	2007-09-18	-2.14	A			442	A
USGS	05536118	2007-09-19	-2.12	A	0.203	A	466	A
USGS	05536118	2007-09-20	-2.12	A	0.205	A	472	A
USGS	05536118	2007-09-21	-2.05	A	0.248	A	573	A
USGS	05536118	2007-09-22	-2.23	A	0.216	A	492	A
USGS	05536118	2007-09-23	-2.20	A	0.238	A	543	A
USGS	05536118	2007-09-24	-2.14	A	0.230	A	529	A
USGS	05536118	2007-09-25	-2.34	A	0.221	A	499	A
USGS	05536118	2007-09-26	-2.22	A	0.284	A	648	A
USGS	05536118	2007-09-27	-2.14	A	0.226	A	518	A
USGS	05536118	2007-09-28	-2.23	A	0.194	A	442	A
USGS	05536118	2007-09-29	-2.14	A	0.197	A	452	A
USGS	05536118	2007-09-30	-2.11	A	0.198	A	456	A
USGS	05536118	2007-10-01	-2.19	A	0.264	A	603	A
USGS	05536118	2007-10-02	-2.16	A	0.225	A	516	A
USGS	05536118	2007-10-03	-2.27	A	0.216	A	490	A
USGS	05536118	2007-10-04	-2.39	A	0.206	A	463	A
USGS	05536118	2007-10-05	-2.17	A	0.212	A	484	A
USGS	05536118	2007-10-06	-2.03	A	0.196	A	454	A
USGS	05536118	2007-10-07	-2.23	A	0.179	A	408	A
USGS	05536118	2007-10-08	-2.06	A	0.200	A	461	A
USGS	05536118	2007-10-09	-2.18	A	0.186	A	425	A
USGS	05536118	2007-10-10	-2.16	A	0.181	A	416	A
USGS	05536118	2007-10-11	-2.03	A	0.191	A	443	A
