# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2015-05-24 18:04:07 EDT       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 05536121 CHICAGO RIVER AT CHICAGO LOCK AT CHICAGO, IL
# -----------------------------------------------------------------------------------
#
# Data provided for site 05536121
#    DD parameter statistic   Description
#    02   00065     00003     Gage height, feet (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	02_00065_00003	02_00065_00003_cd
#5s	15s	20d	14n	10s
USGS	05536121	2007-10-01	-2.23	A
USGS	05536121	2007-10-02	-2.21	A
USGS	05536121	2007-10-03	-2.32	A
USGS	05536121	2007-10-04	-2.45	A
USGS	05536121	2007-10-05	-2.23	A
USGS	05536121	2007-10-06	-2.08	A
USGS	05536121	2007-10-07	-2.29	A
USGS	05536121	2007-10-08	-2.11	A
USGS	05536121	2007-10-09	-2.22	A
USGS	05536121	2007-10-10	-2.20	A
USGS	05536121	2007-10-11	-2.06	A
USGS	05536121	2007-10-12	-2.10	A
USGS	05536121	2007-10-13	-2.15	A
USGS	05536121	2007-10-14	-2.31	A
USGS	05536121	2007-10-15	-2.21	A
USGS	05536121	2007-10-16	-2.46	A
USGS	05536121	2007-10-17	-2.32	A
USGS	05536121	2007-10-18	-2.67	A
USGS	05536121	2007-10-19	-2.23	A
USGS	05536121	2007-10-20	-2.40	A
USGS	05536121	2007-10-21	-2.48	A
USGS	05536121	2007-10-22	-2.37	A
USGS	05536121	2007-10-23	-2.40	A
USGS	05536121	2007-10-24	-2.24	A
USGS	05536121	2007-10-25	-2.33	A
USGS	05536121	2007-10-26	-2.29	A
USGS	05536121	2007-10-27	-2.17	A
USGS	05536121	2007-10-28	-2.40	A
USGS	05536121	2007-10-29	-2.29	A
USGS	05536121	2007-10-30	-2.36	A
USGS	05536121	2007-10-31	-2.53	A
USGS	05536121	2007-11-01	-2.66	A
USGS	05536121	2007-11-02	-2.46	A
USGS	05536121	2007-11-03	-2.27	A
USGS	05536121	2007-11-04	-2.44	A
USGS	05536121	2007-11-05	-2.40	A
USGS	05536121	2007-11-06	-2.41	A
USGS	05536121	2007-11-07	-2.35	A
USGS	05536121	2007-11-08	-2.56	A
USGS	05536121	2007-11-09	-2.48	A
USGS	05536121	2007-11-10	-2.23	A
USGS	05536121	2007-11-11	-2.58	A
USGS	05536121	2007-11-12	-2.48	A
USGS	05536121	2007-11-13	-2.50	A
USGS	05536121	2007-11-14	-2.74	A
USGS	05536121	2007-11-15	-2.63	A
USGS	05536121	2007-11-16	-2.69	A
USGS	05536121	2007-11-17	-2.54	A
USGS	05536121	2007-11-18	-2.18	A
USGS	05536121	2007-11-19	-2.63	A
USGS	05536121	2007-11-20	-2.60	A
USGS	05536121	2007-11-21	-2.56	A
USGS	05536121	2007-11-22	-2.18	A
USGS	05536121	2007-11-23	-2.62	A
USGS	05536121	2007-11-24	-2.63	A
USGS	05536121	2007-11-25	-2.67	A
USGS	05536121	2007-11-26	-2.54	A
USGS	05536121	2007-11-27	-2.79	A
USGS	05536121	2007-11-28	-2.92	A
USGS	05536121	2007-11-29	-2.86	A
USGS	05536121	2007-11-30	-2.99	A
USGS	05536121	2007-12-01	-2.78	A
USGS	05536121	2007-12-02	-2.58	A
USGS	05536121	2007-12-03	-2.34	A
USGS	05536121	2007-12-04	-2.73	A
USGS	05536121	2007-12-05	-2.35	A
USGS	05536121	2007-12-06	-2.59	A
USGS	05536121	2007-12-07	-2.59	A
USGS	05536121	2007-12-08	-2.59	A
USGS	05536121	2007-12-09	-2.72	A
USGS	05536121	2007-12-10	-2.72	A
USGS	05536121	2007-12-11	-2.51	A
USGS	05536121	2007-12-12	-2.76	A
USGS	05536121	2007-12-13	-2.46	A
USGS	05536121	2007-12-14	-3.03	A
USGS	05536121	2007-12-15	-2.91	A
USGS	05536121	2007-12-16	-2.21	A
USGS	05536121	2007-12-17	-2.74	A
USGS	05536121	2007-12-18	-2.86	A
USGS	05536121	2007-12-19	-2.65	A
USGS	05536121	2007-12-20	-2.56	A
USGS	05536121	2007-12-21	-2.64	A
USGS	05536121	2007-12-22	-2.36	A
USGS	05536121	2007-12-23	-2.64	A
USGS	05536121	2007-12-24	-2.95	A
USGS	05536121	2007-12-25	-2.88	A
USGS	05536121	2007-12-26	-2.92	A
USGS	05536121	2007-12-27	-2.75	A
USGS	05536121	2007-12-28	-2.63	A
USGS	05536121	2007-12-29	-2.51	A
USGS	05536121	2007-12-30	-2.97	A
USGS	05536121	2007-12-31	-2.56	A
USGS	05536121	2008-01-01	-2.36	A
USGS	05536121	2008-01-02	-2.47	A
USGS	05536121	2008-01-03	-2.77	A
USGS	05536121	2008-01-04	-2.67	A
USGS	05536121	2008-01-05	-2.56	A
USGS	05536121	2008-01-06	-2.55	A
USGS	05536121	2008-01-07	-2.62	A
USGS	05536121	2008-01-08	-1.95	A
USGS	05536121	2008-01-09	-2.84	A
USGS	05536121	2008-01-10	-3.23	A
USGS	05536121	2008-01-11	-2.43	A
USGS	05536121	2008-01-12	-2.25	A
USGS	05536121	2008-01-13	-2.41	A
USGS	05536121	2008-01-14	-2.53	A
USGS	05536121	2008-01-15	-2.37	A
USGS	05536121	2008-01-16	-2.70	A
USGS	05536121	2008-01-17	-2.47	A
USGS	05536121	2008-01-18	-2.76	A
USGS	05536121	2008-01-19	-2.67	A
USGS	05536121	2008-01-20	-2.63	A
USGS	05536121	2008-01-21	-2.74	A
USGS	05536121	2008-01-22	-2.62	A
USGS	05536121	2008-01-23	-2.79	A
USGS	05536121	2008-01-24	-2.52	A
USGS	05536121	2008-01-25	-2.51	A
USGS	05536121	2008-01-26	-2.58	A
USGS	05536121	2008-01-27	-2.53	A
USGS	05536121	2008-01-28	-2.55	A
USGS	05536121	2008-01-29	-2.58	A
USGS	05536121	2008-01-30	-2.71	A
USGS	05536121	2008-01-31	-2.91	A
USGS	05536121	2008-02-01	-2.47	A
USGS	05536121	2008-02-02	-2.37	A
USGS	05536121	2008-02-03	-2.63	A
USGS	05536121	2008-02-04	-2.33	A
USGS	05536121	2008-02-05	-2.26	A
USGS	05536121	2008-02-06	-2.22	A
USGS	05536121	2008-02-07	-2.08	A
USGS	05536121	2008-02-08	-2.52	A
USGS	05536121	2008-02-09	-2.52	A
USGS	05536121	2008-02-10	-2.70	A
USGS	05536121	2008-02-11	-2.81	A
USGS	05536121	2008-02-12	-2.42	A
USGS	05536121	2008-02-13	-2.15	A
USGS	05536121	2008-02-14	-2.68	A
USGS	05536121	2008-02-15	-2.72	A
USGS	05536121	2008-02-16	-2.79	A
USGS	05536121	2008-02-17	-2.28	A
USGS	05536121	2008-02-18	-2.82	A
USGS	05536121	2008-02-19	-2.27	A
USGS	05536121	2008-02-20	-2.44	A
USGS	05536121	2008-02-21	-2.20	A
USGS	05536121	2008-02-22	-2.53	A
USGS	05536121	2008-02-23	-2.45	A
USGS	05536121	2008-02-24	-2.18	A
USGS	05536121	2008-02-25	-2.56	A
USGS	05536121	2008-02-26	-2.61	A
USGS	05536121	2008-02-27	-2.26	A
USGS	05536121	2008-02-28	-2.12	A
USGS	05536121	2008-02-29	-2.47	A
USGS	05536121	2008-03-01	-2.41	A
USGS	05536121	2008-03-02	-2.23	A
