# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2015-05-24 18:06:21 EDT       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 05536123 CHICAGO RIVER AT COLUMBUS DRIVE AT CHICAGO, IL
# -----------------------------------------------------------------------------------
#
# Data provided for site 05536123
#    DD parameter statistic   Description
#    35   00065     00003     Gage height, feet (Mean)
#    48   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
# 
agency_cd	site_no	datetime	35_00065_00003	35_00065_00003_cd
#5s	15s	20d	14n	10s
USGS	05536123	2007-05-01	-2.03	A
USGS	05536123	2007-05-02	-2.15	A
USGS	05536123	2007-05-03	-2.15	A
USGS	05536123	2007-05-04	-2.14	A
USGS	05536123	2007-05-05	-2.35	A
USGS	05536123	2007-05-06	-2.14	A
USGS	05536123	2007-05-07	-2.12	A
USGS	05536123	2007-05-08	-2.05	A
USGS	05536123	2007-05-09	-2.23	A
USGS	05536123	2007-05-10	-2.10	A
USGS	05536123	2007-05-11	-2.26	A
USGS	05536123	2007-05-12	-2.41	A
USGS	05536123	2007-05-13	-2.10	A
USGS	05536123	2007-05-14	-2.10	A
USGS	05536123	2007-05-15	-2.35	A
USGS	05536123	2007-05-16	-2.31	A
USGS	05536123	2007-05-17	-2.44	A
USGS	05536123	2007-05-18	-2.12	A
USGS	05536123	2007-05-19	-2.26	A
USGS	05536123	2007-05-20	-2.11	A
USGS	05536123	2007-05-21	-2.10	A
USGS	05536123	2007-05-22	-2.13	A
USGS	05536123	2007-05-23	-2.12	A
USGS	05536123	2007-05-24	-2.24	A
USGS	05536123	2007-05-25	-2.76	A
USGS	05536123	2007-05-26	-2.78	A
USGS	05536123	2007-05-27	-2.64	A
USGS	05536123	2007-05-28	-2.01	A
USGS	05536123	2007-05-29	-2.13	A
USGS	05536123	2007-05-30	-2.10	A
USGS	05536123	2007-05-31	-2.20	A
USGS	05536123	2007-06-01	-2.13	A
USGS	05536123	2007-06-02	-2.29	A
USGS	05536123	2007-06-03	-2.26	A
USGS	05536123	2007-06-04	-2.29	A
USGS	05536123	2007-06-05	-2.20	A
USGS	05536123	2007-06-06	-2.14	A
USGS	05536123	2007-06-07	-2.09	A
USGS	05536123	2007-06-08	-2.30	A
USGS	05536123	2007-06-09	-2.16	A
USGS	05536123	2007-06-10	-2.06	A
USGS	05536123	2007-06-11	-2.20	A
USGS	05536123	2007-06-12	-2.19	A
USGS	05536123	2007-06-13	-2.21	A
USGS	05536123	2007-06-14	-2.11	A
USGS	05536123	2007-06-15	-2.09	A
USGS	05536123	2007-06-16	-2.27	A
USGS	05536123	2007-06-17	-2.02	A
USGS	05536123	2007-06-18	-2.30	A
USGS	05536123	2007-06-19	-2.35	A
USGS	05536123	2007-06-20	-2.13	A
USGS	05536123	2007-06-21	-2.24	A
USGS	05536123	2007-06-22	-2.56	A
USGS	05536123	2007-06-23	-2.14	A
USGS	05536123	2007-06-24	-2.21	A
USGS	05536123	2007-06-25	-2.10	A
USGS	05536123	2007-06-26	-2.13	A
USGS	05536123	2007-06-27	-2.52	A
USGS	05536123	2007-06-28	-2.07	A
USGS	05536123	2007-06-29	-2.08	A
USGS	05536123	2007-06-30	-2.07	A
USGS	05536123	2007-07-01	-2.09	A
USGS	05536123	2007-07-02	-2.18	A
USGS	05536123	2007-07-03	-2.16	A
USGS	05536123	2007-07-04	-2.27	A
USGS	05536123	2007-07-05	-2.01	A
USGS	05536123	2007-07-06	-2.13	A
USGS	05536123	2007-07-07	-2.22	A
USGS	05536123	2007-07-08	-2.03	A
USGS	05536123	2007-07-09	-2.35	A
USGS	05536123	2007-07-10	-2.44	A
USGS	05536123	2007-07-11	-2.03	A
USGS	05536123	2007-07-12	-2.06	A
USGS	05536123	2007-07-13	-2.11	A
USGS	05536123	2007-07-14	-2.22	A
USGS	05536123	2007-07-15	-2.14	A
